platform,workload,run_id,invocation_id,mem_limit_mb,cold_start,concurrency,queue_delay_ms,duration_ms,cpu_time_ms,rss_mb,peak_rss_mb,io_read_bytes,io_write_bytes,energy_joules
docker_ubuntu22_on_ubuntu20,memory_touch,6901d4a1-e965-46a3-ac5f-9ce6e73aed30,e44196e2-513b-4786-bc45-f24b14a5a890,128,False,1,0,340.0,340.0,73.953125,73.953125,0,0,9.243568
docker_ubuntu22_on_ubuntu20,memory_touch,6901d4a1-e965-46a3-ac5f-9ce6e73aed30,5c2b17ed-c774-4893-afec-6f8edc8688ea,128,False,1,0,350.0,350.00000000000006,73.890625,73.890625,0,0,16.516254
docker_ubuntu22_on_ubuntu20,memory_touch,6901d4a1-e965-46a3-ac5f-9ce6e73aed30,ae14a8e8-9945-4ab7-a8e9-6184a52b977f,128,False,1,0,340.0,340.0,73.90625,73.90625,0,0,8.172403
docker_ubuntu22_on_ubuntu20,memory_touch,67471dc1-64b8-46b0-8b62-cd7427262499,687fe212-e20f-46c9-be66-b067c7f6ba27,256,True,1,0,340.0,330.0,73.92578125,73.92578125,0,0,10.532505
docker_ubuntu22_on_ubuntu20,memory_touch,67471dc1-64b8-46b0-8b62-cd7427262499,08b85f42-84f1-46d2-ac54-4f0f5c4a5113,256,False,1,0,340.0,330.0,73.984375,73.984375,0,0,11.411103
docker_ubuntu22_on_ubuntu20,memory_touch,67471dc1-64b8-46b0-8b62-cd7427262499,656699d0-514a-438b-a898-fc62833ab1a8,256,False,1,0,340.0,340.0,73.8984375,73.8984375,0,0,8.601845
docker_ubuntu22_on_ubuntu20,memory_touch,67471dc1-64b8-46b0-8b62-cd7427262499,c15de36f-363c-4588-bc6f-e9414d3f1a59,256,False,1,0,340.0,340.0,73.8125,73.8125,0,0,8.063029
docker_ubuntu22_on_ubuntu20,memory_touch,67471dc1-64b8-46b0-8b62-cd7427262499,964d592c-4802-4ebc-9ba7-770c32eb875f,256,False,1,0,350.0,350.00000000000006,73.7734375,73.7734375,0,0,10.169041
docker_ubuntu22_on_ubuntu20,memory_touch,824e6cda-3299-4228-ab0c-c5ec1da44dbc,6dcfe929-8d31-40b8-89f4-83a509f78050,512,True,1,0,340.0,330.0,73.84375,73.84375,0,0,10.485141
docker_ubuntu22_on_ubuntu20,memory_touch,824e6cda-3299-4228-ab0c-c5ec1da44dbc,ee6e1f38-41b3-4268-88b4-af4bb8d83e40,512,False,1,0,340.0,340.0,73.9375,73.9375,0,0,7.934367
docker_ubuntu22_on_ubuntu20,memory_touch,824e6cda-3299-4228-ab0c-c5ec1da44dbc,e8a5846c-22f7-4412-bb4b-02e4d408479a,512,False,1,0,340.0,340.0,73.734375,73.734375,0,0,9.580237
docker_ubuntu22_on_ubuntu20,memory_touch,824e6cda-3299-4228-ab0c-c5ec1da44dbc,285acd32-eb4e-4952-b514-b52b2733981b,512,False,1,0,340.0,340.0,73.765625,73.765625,0,0,12.719266
docker_ubuntu22_on_ubuntu20,memory_touch,824e6cda-3299-4228-ab0c-c5ec1da44dbc,77d82e59-88e4-4ee4-8e4f-0dc30373f38e,512,False,1,0,340.0,330.0,73.99609375,73.99609375,0,0,11.668366
docker_ubuntu22_on_ubuntu20,memory_touch,8dcbffa9-2f0c-4395-b2f3-118a0e228e73,acc3d562-2554-464e-8bb4-137c8af00075,1024,True,1,0,350.0,340.0,73.89453125,73.89453125,0,0,11.950836
docker_ubuntu22_on_ubuntu20,memory_touch,8dcbffa9-2f0c-4395-b2f3-118a0e228e73,1e505bc5-b5d8-4a1f-a4c7-4048b52a9fbd,1024,False,1,0,340.0,340.0,73.85546875,73.85546875,0,0,11.255098
docker_ubuntu22_on_ubuntu20,memory_touch,8dcbffa9-2f0c-4395-b2f3-118a0e228e73,510b24b0-0112-4cfc-a3c9-3fed7454f4a4,1024,False,1,0,360.0,360.00000000000006,73.8984375,73.8984375,0,0,11.773652
