Model,MAE (Joules),RMSE (Joules),Train Time (s)
Linear Regression,3.0618727578477785,5.314928705422024,0.008449792861938477
Random Forest,3.1286591599296214,6.001740226298879,0.349231481552124
HGBDT (Ours),2.9092080622605714,5.275117901235573,0.740520715713501
