Target,Model,MAE,RMSE,Train Time (s)
Energy,Linear Regression,3.0618727578477785,5.314928705422024,0.03775191307067871
Energy,Random Forest,3.1286591599296214,6.001740226298879,0.34412646293640137
Energy,HGBDT (Ours),2.9092080622605714,5.275117901235573,0.7706143856048584
Latency,Linear Regression,4.582001077577018,4.82038810840882,0.0006308555603027344
Latency,Random Forest,2.855406370656372,4.866093802730373,0.2292497158050537
Latency,HGBDT (Ours),3.907004477220313,5.154640969040147,0.9019651412963867
